variable,screening,r1,r3,r5
sex,29/41,18/30,19/21,8/5
type_pd,43/12,36/8,21/9,3/1
edu_years,13.00 (5.00),13.00 (4.25),13.00 (3.00),17.50 (6.00)
hy_stage,2.00 (0.50),2.00 (0.50),2.00 (0.50),2.50 (0.50)
age_surg,57.04 (13.91),56.62 (11.69),56.57 (12.53),50.80 (14.82)
age_psycho,56.50 (14.20),57.73 (11.90),59.01 (12.67),55.38 (11.77)
surg_to_psycho,-0.38 (0.25),1.03 (0.13),3.11 (0.26),5.08 (0.30)
faq,2.00 (4.75),2.00 (5.25),3.00 (6.00),2.00 (3.00)
pdaq,NA (NA),60.00 (1.50),55.50 (4.75),49.00 (3.00)
drs,140.00 (4.75),141.00 (4.25),139.00 (4.50),138.00 (8.50)
bdi,8.00 (8.75),7.00 (10.25),7.00 (5.50),6.00 (12.00)
staix1,35.50 (12.25),31.00 (14.00),33.50 (9.00),38.00 (14.00)
staix2,38.00 (11.00),33.50 (12.50),34.00 (7.00),39.00 (9.00)
age_medic,57.42 (14.55),57.56 (11.93),60.60 (13.38),55.79 (15.14)
surg_to_medic,-0.40 (0.35),1.00 (0.08),3.07 (0.24),5.03 (0.16)
ledd,1605.00 (555.00),760.00 (540.12),757.00 (721.00),700.00 (327.00)
